SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;ISSUEDATE;EVENINGSESSION;MORNINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
VLHZ;ВХЗ-ао;Владимирский химич.з-д(ПАО) ао;Акции обыкновенные;RU0007984761;1-02-04847-A;3;20,0;RUB;5005605;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.07.2006;0;0;0;0;2017-06-08;;;закрытие реестра;680011439.25;680011439.25;"Публичное акционерное общество ""Владимирский химический завод""";3302000669;10;135,2;135,2;0,0;270,4;0,0;270,4;0,0;270,4;100,0;;;;;14,12000;23,48000;1
VRSB;ТНСэнВорон;ТНС энерго Воронеж ПАО ао;Акции обыкновенные;RU000A0DPG67;1-01-55029-E;3;0,4;RUB;56151024;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.10.2005;0;0;0;0;2022-07-14;;;закрытие реестра;19091348160.0;20948042617.6;"Публичное акционерное общество ""ТНС энерго Воронеж""";3663050467;10;339,623;339,623;0,0;679,246;0,0;679,246;0,0;679,246;100,0;;;;;18,00000;25,22000;1
VSMO;ВСМПО-АВСМ;Корп. ВСМПО-АВИСМА (ПАО) ао;Акции обыкновенные;RU0009100291;1-01-30202-D;2;1,0;RUB;11529538;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.11.2004;0;0;0;0;2023-06-05;;;закрытие реестра (рекомендуемая);584547576600.0;584547576600.0;"публичное акционерное общество ""Корпорация ВСМПО-АВИСМА""";6607000556;1;50650,39;50650,39;30390,23;70910,55;21779,67;79521,11;9117,07;92183,71;40,0;268;57,0;1340;82,0;14,33000;31,07000;0
VSYD;ВыбСудЗ ао;Выборгский Суд.Завод ПАО ао;Акции обыкновенные;RU0006334372;1-01-02203-D;3;0,5;RUB;1891250;0;0;TQBR;Т+: Акции и ДР - безадрес.;;25.09.2012;0;0;0;0;;;;;11763575000.0;12094307820.0;"Публичное акционерное общество ""Выборгский судостроительный завод""";4704012874;1;6213,1;6213,1;0,0;12426,2;0,0;12426,2;0,0;12426,2;100,0;;;;;8,73000;18,01000;1
VTBR;ВТБ ао;ао ПАО Банк ВТБ;Акции обыкновенные;RU000A0JP5V6;10401000B;1;0,01;RUB;12960541337338;1;0;TQBR;Т+: Акции и ДР - безадрес.;;28.05.2007;1;1;0;0;2021-07-15;1.73965919370917e-05;0.0004;закрытие реестра;272949000564.33826;272949000564.33826;Банк ВТБ (публичное акционерное общество);7702070139;10000;0,021178;0,021178;0,016942;0,025414;0,015672;0,026684;0,014189;0,028167;20,0;9020485980;26,0;45102429900;33,0;8,12000;14,29000;0
WTCM;ЦМТ ао;"""Центр междун. торговли""ПАО ао";Акции обыкновенные;RU0008137070;1-01-01837-A;3;1,0;RUB;1083000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;27.09.2007;0;0;0;0;2023-05-10;;;закрытие реестра;11436480000.0;12771360000.0;"Публичное акционерное общество ""Центр международной торговли""";7703034574;100;10,5483;10,5483;0,0;21,0966;0,0;21,0966;0,0;21,0966;100,0;;;;;11,67000;11,36000;1
WUSH;iВУШХолднг;ВУШ Холдинг ао;Акции обыкновенные;RU000A105EX7;1-01-03292-G;1;0,01;RUB;111382432;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;14.12.2022;0;0;0;0;;;;;24083109447.04;24083109447.04;"Публичное акционерное общество ""ВУШ Холдинг""";9703103060;1;216,05;216,05;0,0;432,1;0,0;432,1;0,0;432,1;100,0;;;;;31,15000;56,49000;1
YAKG;ЯТЭК ао;Якутская топл.-энерг. комп. ао;Акции обыкновенные;RU0007796819;1-01-20510-F;3;1,0;RUB;826919375;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.12.2011;0;0;0;0;2021-04-26;;;закрытие реестра;96501491062.5;96501491062.5;"Публичное акционерное общество ""Якутская топливно-энергетическая компания""";1435032049;10;116,57;116,57;0,0;233,14;0,0;233,14;0,0;233,14;100,0;;;;;6,16000;10,19000;1
YKEN;Якутскэнрг;"АК ""Якутскэнерго"" (ПАО) ао";Акции обыкновенные;RU0009257075;1-01-00304-A;3;2,22;RUB;7963562986;0;0;TQBR;Т+: Акции и ДР - безадрес.;;02.12.2004;0;0;0;0;;;;;2667793600.31;3118890590.1225;"Публичное акционерное общество ""Якутскэнерго""";1435028701;10000;0,335128;0,335128;0,0;0,670256;0,0;0,670256;0,0;0,670256;100,0;;;;;10,54000;12,19000;1
YRSB;ТНСэнЯр;ТНС энерго Ярославль ПАО ао;Акции обыкновенные;RU000A0D8760;1-01-50099-A;3;1,0;RUB;17143584;0;0;TQBR;Т+: Акции и ДР - безадрес.;;29.08.2005;0;0;0;0;2016-06-29;;;закрытие реестра;5554521216.0;6135965496.0;"Публичное акционерное общество ""ТНС энерго Ярославль""";7606052264;10;321,643;321,643;0,0;643,286;0,0;643,286;0,0;643,286;100,0;;;;;16,04000;47,61000;1
ZILL;ЗИЛ ао;Завод им. И.А.Лихачева ПАО ао;Акции обыкновенные;RU0009086193;1-02-00036-A;3;1000,0;RUB;2659962;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.12.2011;0;0;0;0;;;;;9682261680.0;9682261680.0;"Публичное акционерное общество ""Завод имени И.А. Лихачева""";7725043886;1;3635,96;3635,96;0,0;7271,92;0,0;7271,92;0,0;7271,92;100,0;;;;;8,18000;13,59000;1
ZVEZ;ЗВЕЗДА ао;ЗВЕЗДА ПАО ао;Акции обыкновенные;RU0009091300;1-01-00169-D;3;0,1;RUB;562020480;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.12.2011;0;0;0;0;2014-07-07;;;закрытие реестра;2888785267.2;2888785267.2;"Публичное акционерное общество ""ЗВЕЗДА""";7811038760;1000;5,1343;5,1343;0,0;10,2686;0,0;10,2686;0,0;10,2686;100,0;;;;;10,21000;15,18000;1


